Habit,Value,Unit,Period,Time,Deadline,Streaks
Cycling,15.4,km,Daily,30/10/2021-14:35:00,1,0
Workout,2.0,h,Weekly,10/10/2021-10:00:00,7,0
Smoking,2.0,x,Daily,01/11/2021-07:35:00,1,0
Workout,2.0,h,Weekly,17/10/2021-10:00:00,7,1
Workout,2.0,h,Weekly,24/10/2021-10:00:00,7,2
Reading,50.0,min,Daily,01/11/2021-09:35:00,1,0
Dentist,1.0,-,Yearly,30/10/2021-08:00:00,365,0
Workout,2.0,h,Weekly,02/11/2021-10:00:00,7,3
Cycling,19.4,km,Daily,01/11/2021-14:35:00,1,0
Cycling,17.4,km,Daily,02/11/2021-14:35:00,1,0
Cycling,20.4,km,Daily,03/11/2021-14:35:00,1,0
Cycling,5.45,km,Daily,06/11/2021-14:35:00,1,0
Reading,50.0,min,Daily,01/11/2021-09:35:00,1,1
Cycling,35.45,km,Daily,07/11/2021-14:35:00,1,1
Smoking,2.0,x,Daily,04/11/2021-17:55:52,1,1
Workout,2.0,h,Weekly,09/11/2021-17:57:48,7,4
Cycling,35.45,km,Daily,08/11/2021-18:02:31,1,2
Walking,5,km,Daily,11/11/2021-14:28:51,1,0
Cycling,35.45,km,Daily,11/11/2021-11:09:43,1,3
